"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"3198",3198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3199",3199,1,1316,19,0,852,2015,80,2,0,0,0,4,3,0,0,5,3,0,0,0,0,0,0,7,0,0,4,178,7,0,0,0,0,0,0,0,0,1,0,0,0,13,14,0,2
"3200",3200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3201",3201,1,2608,36,2,853,2015,77,1,0,0,0,4,4,0,0,5,2,0,0,0,0,0,0,6,0,0,2,116,6,0,0,0,0,0,0,0,0,7,1,1,4,8,16,0,3
"3202",3202,1,3335,19,0,853,2015,76,2,0,0,0,3,2,0,0,5,3,0,0,0,0,0,0,20,0,0,1,125,2,0,0,0,0,0,0,0,0,1,1,1,1,8,13,0,2
"3203",3203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3204",3204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3205",3205,1,2408,36,0,853,2015,47,1,49,1,15,1,2,5,338,5,1,1,586,859,0,5,15,8,130000,6000,1,170,10,1,97,11,1,1,1,4,8,1,1,1,4,8,16,17,1
"3206",3206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3207",3207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3208",3208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3209",3209,1,3760,45,0,855,2015,35,1,36,2,3,1,3,12,728,5,1,1,465,909,0,5,8,4,180000,19000,2,225,2,1,125,4,1,1,1,4,2,1,1,1,5,2,17,16,1
"3210",3210,1,1595,12,0,855,2015,33,2,0,0,0,2,3,570,847,5,3,0,0,0,0,0,0,6,43000,0,3,170,2,0,0,0,0,0,0,0,0,1,1,1,4,2,16,0,2
"3211",3211,1,4469,31,0,855,2015,32,1,0,0,0,2,2,306,819,5,2,0,0,0,0,0,0,3,65000,0,1,210,0,0,0,0,0,0,0,0,0,1,1,1,5,2,17,0,2
"3212",3212,1,763,12,0,855,2015,66,1,66,0,0,1,2,210,707,5,1,4,231,786,0,5,5,6,113000,300,1,240,4,3,190,5,1,1,1,5,2,1,1,1,4,2,16,17,1
