"","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"62",1,2000,34,1,7,2015,59,2,0,0,0,4,2,402,827,5,3,0,0,0,0,0,0,8,30000,0,2,200,11,0,0,0,0,0,0,0,0,1,3,5,0,8,9,0,2,13715.1757931434
"63",1,2782,34,0,7,2015,57,1,34,3,5,4,2,0,0,5,1,1,912,618,0,1,40,10,0,19000,3,211,11,2,185,5,1,1,5,0,8,1,3,5,0,8,11,12,1,0
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1,2733,34,1,7,2015,41,1,41,1,16,1,2,913,617,5,1,1,423,859,0,1,3,0,63243,2871,3,330,9,3,261,0,1,1,5,0,0,1,3,5,0,0,11,12,1,28912.9620895255
"66",1,1121,34,2,7,2015,40,1,0,0,0,4,3,913,409,1,2,0,0,0,0,0,0,8,600,0,3,195,9,0,0,0,0,0,0,0,0,1,3,5,0,0,11,0,4,274.303515862867
"67",1,3442,34,0,7,2015,40,2,0,0,0,4,3,360,817,1,3,0,0,0,0,0,0,2,15000,0,3,145,5,0,0,0,0,0,0,0,0,1,3,5,0,8,11,0,2,6857.58789657168
"68",1,4593,34,1,7,2015,38,1,36,0,0,1,1,720,469,5,1,6,0,0,0,5,20,10,30182,0,3,174,5,3,225,4,1,2,1,2,0,1,3,5,0,0,10,14,1,13798.3811929551
"69",1,3959,34,1,7,2015,34,2,0,4,5,5,1,411,868,1,3,0,0,0,0,0,0,15,0,0,2,240,5,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,2,0
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1,7746,34,1,7,2015,32,1,26,0,0,1,1,485,428,5,1,1,425,777,0,5,1,2,14000,12000,4,135,4,4,140,11,1,1,5,0,0,1,1,5,0,8,12,12,1,6400.41537013357
"72",1,5421,34,2,7,2015,27,1,0,0,0,2,4,425,777,1,2,0,0,0,0,0,0,0,9999998,0,3,160,10,0,0,0,0,0,0,0,0,1,1,5,0,0,12,0,3,4571724.35003607
"73",1,6262,34,0,7,2015,23,1,24,0,0,1,2,721,617,5,1,3,402,868,0,5,15,10,21000,10500,3,164,9,3,130,6,1,1,5,0,0,1,1,1,2,0,14,12,1,9600.62305520036
"74",1,8170,34,2,7,2015,24,1,22,1,1,2,2,853,377,5,1,1,360,817,0,5,35,0,20000,23000,4,245,2,3,190,1,1,1,5,0,8,1,3,5,0,1,10,12,5,9143.45052876225
"75",1,5709,34,0,7,2015,22,1,0,0,0,2,3,425,777,1,2,0,0,0,0,0,0,5,150,0,4,220,11,0,0,0,0,0,0,0,0,1,3,5,0,99,9,0,2,68.5758789657169
"76",1,3856,34,5,7,2015,22,2,0,2,1,2,3,423,859,5,3,0,0,0,0,0,0,15,2400,0,5,204,0,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,8,1097.21406345147
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1,6213,34,0,7,2015,45,1,41,1,13,1,1,961,878,5,1,3,474,907,0,5,3,1,13000,10400,3,100,0,3,160,2,1,3,5,0,8,1,3,5,0,8,99,11,1,5943.24284369546
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1,8150,34,3,7,2015,31,2,0,3,5,5,3,402,868,1,3,0,0,0,0,0,0,75,470,0,4,135,4,0,0,0,0,0,0,0,0,1,3,5,0,0,11,0,3,214.871087425913
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1,3786,34,0,7,2015,26,1,25,2,3,1,1,913,617,5,1,6,0,0,0,5,5,0,170000,0,2,280,1,2,130,1,1,1,5,0,8,1,1,5,0,0,12,12,1,77719.3294944791
"85",1,1156,34,1,7,2015,53,1,43,2,9,1,1,0,0,5,1,5,0,0,0,5,2,0,0,0,4,150,9,4,147,3,1,1,5,0,8,1,1,5,0,99,12,12,1,0
"86",1,7575,34,1,7,2015,22,1,21,2,1,1,3,800,288,5,1,6,460,847,0,5,25,5,45000,6000,4,180,2,4,140,3,1,1,5,0,0,1,1,5,0,0,12,12,1,20572.7636897151
